id_pendidikan,id_kelurahan,paud_lk,tk_lk,sd_lk,smp_lk,sma_lk,d1_d2_lk,d3_lk,s1_lk,s2_lk,s3_lk,paud_pr,tk_pr,sd_pr,smp_pr,sma_pr,d1_d2_pr,d3_pr,s1_pr,s2_pr,s3_pr,update
100,100,1957,1837,1077,989,1634,2162,1504,1588,3866,3365,31,41,151,187,853,819,44,31,3,2,2017-11-30
101,101,3381,3281,1806,1705,3007,4033,2675,2808,5805,4806,49,59,141,246,919,841,42,27,1,0,2017-11-30
102,102,314,309,174,179,448,548,358,322,504,434,2,9,6,16,66,71,7,2,1,0,2017-11-30
103,103,227,202,135,108,249,279,170,195,455,332,5,10,5,9,26,49,3,0,0,0,2017-11-30
104,104,1797,1717,722,684,1323,1740,1069,1062,2799,2486,75,61,123,165,1187,1188,129,89,4,4,2017-11-30
105,105,1092,1024,527,472,691,887,738,773,1883,1736,29,40,112,131,548,566,47,28,0,1,2017-11-30
106,106,2673,2425,1248,1118,1529,1862,1351,1405,4368,4313,108,124,218,298,2580,2503,201,101,8,4,2017-11-30
107,107,1394,1259,550,519,916,1089,769,675,2034,1904,70,65,142,167,831,807,70,62,2,2,2017-11-30
108,108,1532,1367,559,535,1003,1330,956,937,2604,2455,54,55,101,116,752,805,72,37,3,1,2017-11-30
109,109,1499,1382,603,576,931,1248,875,996,2499,2476,78,79,133,163,1379,1250,107,60,8,3,2017-11-30
110,110,1428,1342,676,651,673,961,859,941,2914,2563,65,77,159,180,744,754,40,26,0,4,2017-11-30
111,111,1475,1332,562,530,893,1136,851,918,2348,2407,51,65,138,152,1323,1275,108,74,5,2,2017-11-30
112,112,1632,1471,518,491,522,703,605,752,2101,2392,136,154,173,196,2084,1881,290,159,19,7,2017-11-30
113,113,989,955,250,255,366,556,380,543,1582,1619,88,80,82,108,950,860,108,65,1,3,2017-11-30
114,114,915,769,370,360,425,619,467,471,1470,1355,48,50,84,88,602,530,73,36,4,1,2017-11-30
115,115,1226,1172,457,450,529,673,557,630,1842,1852,60,76,105,142,1183,1091,139,84,7,5,2017-11-30
116,116,993,898,524,514,329,466,522,595,1749,1691,55,62,129,167,1028,957,100,55,8,1,2017-11-30
117,117,1432,1307,756,697,426,694,769,929,2583,2523,95,103,216,270,1597,1487,181,117,14,9,2017-11-30
118,118,962,944,511,484,467,674,551,572,2023,1803,48,60,106,124,823,795,70,41,3,1,2017-11-30
119,119,1170,1072,683,672,755,1056,832,863,2368,2076,52,62,116,170,810,776,94,49,3,2,2017-11-30
120,120,1437,1341,929,791,761,1132,990,1138,3148,2943,93,110,200,281,1785,1768,163,114,6,4,2017-11-30
121,121,1332,1207,671,684,718,1079,1030,1095,2794,2409,34,47,75,113,962,944,57,41,6,3,2017-11-30
122,122,941,816,573,546,551,716,682,794,1493,1540,70,76,121,175,929,941,154,101,15,7,2017-11-30
123,123,1231,1201,567,542,766,1009,862,922,2135,1943,53,73,84,122,874,821,79,56,5,2,2017-11-30
124,124,1989,1941,1038,983,1054,1421,1275,1423,2882,2614,84,102,167,206,1687,1633,176,104,13,5,2017-11-30
125,125,1136,967,624,592,582,854,778,907,2208,1971,66,78,112,157,1181,1107,78,48,2,1,2017-11-30
126,126,1284,1137,571,506,431,610,625,765,2018,2170,101,117,188,207,1522,1362,136,94,15,6,2017-11-30
127,127,942,838,471,430,355,447,385,454,1144,1170,67,86,109,124,1152,1151,107,79,11,3,2017-11-30
128,128,2097,1898,380,359,1063,1361,904,1014,2328,2387,84,102,117,146,1810,1818,199,122,12,11,2017-11-30
129,129,2048,1855,457,392,854,1169,932,991,2571,2605,88,107,78,110,1626,1571,160,101,4,6,2017-11-30
130,130,927,872,259,234,490,602,395,434,880,795,27,32,41,64,480,473,54,30,2,2,2017-11-30
131,131,1694,1559,418,353,533,641,550,728,1981,2203,91,123,136,149,1964,1918,194,115,12,9,2017-11-30
132,132,1563,1587,448,419,831,1032,862,1021,2375,2385,61,60,85,164,1747,1678,131,94,14,4,2017-11-30
133,133,1414,1272,571,541,909,1123,859,914,2128,2036,31,43,79,117,828,789,51,38,2,1,2017-11-30
134,134,1206,1161,350,348,973,1111,708,782,1901,1647,30,28,30,41,465,430,11,13,1,0,2017-11-30
135,135,1111,1057,416,403,615,801,738,824,2071,2102,43,51,83,109,947,941,47,37,6,0,2017-11-30
136,136,799,779,202,219,334,409,331,413,1315,1333,40,53,37,64,1049,1049,60,46,3,3,2017-11-30
137,137,694,683,288,291,520,694,473,506,1188,1037,28,30,27,27,228,243,15,12,2,0,2017-11-30
138,138,2574,2404,867,849,1330,1935,1475,1602,4249,3922,67,111,126,157,1199,1058,65,37,2,1,2017-11-30
139,139,4763,4473,1706,1675,2845,3583,2763,2882,7107,6210,109,150,211,251,1336,1337,69,56,5,3,2017-11-30
140,140,4967,4747,697,700,4810,5130,2079,2006,3388,2811,77,77,71,87,586,555,64,37,1,0,2017-11-30
141,141,1193,1107,188,176,1069,1256,567,569,958,702,10,12,11,11,85,88,6,3,0,0,2017-11-30
142,142,977,885,184,209,715,843,549,565,1038,798,12,26,17,23,154,150,13,9,0,0,2017-11-30
143,143,862,845,227,199,1023,1116,388,362,490,404,2,3,6,11,65,59,4,1,0,0,2017-11-30
144,144,1000,903,159,155,633,787,389,362,818,755,27,28,15,28,374,376,38,21,3,1,2017-11-30
145,145,2259,2188,863,759,1577,1995,1587,1613,3189,2823,57,54,86,119,594,633,59,37,3,0,2017-11-30
146,146,1324,1330,369,343,864,1064,611,634,1459,1376,83,44,125,113,603,634,53,32,3,1,2017-11-30
147,147,953,917,403,362,715,893,704,712,1568,1302,15,18,34,50,248,271,9,12,0,0,2017-11-30
148,148,2389,2295,1014,927,1095,1413,1300,1488,4304,3835,76,84,183,243,1410,1334,86,48,3,4,2017-11-30
149,149,1238,1158,505,462,997,1249,950,910,1622,1305,29,23,46,69,288,277,12,13,1,1,2017-11-30
150,150,1279,1193,407,366,941,1181,868,871,1712,1448,5,15,57,59,254,265,17,8,0,0,2017-11-30
151,151,2016,2077,987,920,1352,1656,1192,1325,3118,2851,67,70,169,235,1261,1229,77,49,5,0,2017-11-30
152,152,825,812,430,414,886,1022,648,682,1208,930,15,14,44,54,363,389,26,18,1,2,2017-11-30
153,153,502,471,250,246,439,629,452,423,808,671,6,4,22,17,130,124,7,6,0,1,2017-11-30
154,154,2798,2603,1306,1203,1761,2273,1736,1953,4819,4360,98,123,234,311,1736,1527,122,77,1,1,2017-11-30
155,1,949,893,420,401,559,755,630,610,2091,1643,38,43,52,79,263,280,13,15,0,1,2017-12-30
156,2,2630,2383,1197,1158,1236,1676,1434,1627,5091,5002,233,243,306,357,2363,2189,192,108,16,8,2017-12-30
157,3,2587,2436,1111,1182,1166,1634,1577,1743,4609,4298,151,190,215,271,1893,1819,146,115,5,5,2017-12-30
158,4,928,925,395,395,772,984,692,673,1571,1231,26,35,21,38,144,181,5,3,1,0,2017-12-30
159,5,1442,1336,571,536,607,800,878,893,2162,2061,85,88,110,115,1017,967,113,72,12,6,2017-12-30
160,6,1543,1474,742,748,995,1358,1014,1084,2629,2483,93,85,154,217,1342,1220,127,75,7,5,2017-12-30
161,7,984,901,480,446,462,688,674,743,2089,1988,79,84,110,117,886,859,78,57,2,0,2017-12-30
162,8,2018,1840,905,835,1085,1560,1325,1483,3623,3457,130,136,164,227,1975,1884,185,122,24,8,2017-12-30
163,9,1564,1531,819,753,753,988,990,1177,3104,2964,104,106,161,183,1123,1043,137,75,7,1,2017-12-30
164,10,2111,1929,908,809,892,1281,1393,1625,3869,3610,112,128,204,229,2117,2107,209,141,26,17,2017-12-30
165,11,1223,1103,526,447,536,785,648,879,2217,2100,72,63,149,143,1300,1296,152,107,17,10,2017-12-30
166,12,1401,1272,625,584,965,1289,1005,1103,2728,2467,74,100,111,137,1240,1241,94,51,11,2,2017-12-30
167,13,1674,1599,753,780,913,1104,977,1176,2831,2826,77,95,201,215,1739,1684,178,124,22,12,2017-12-30
168,14,1479,1348,745,685,700,906,811,884,2269,2306,78,107,165,222,1807,1741,157,105,21,5,2017-12-30
169,15,2481,2334,1054,1104,1199,1490,1255,1445,3842,3695,110,124,241,315,2303,2177,253,162,21,13,2017-12-30
170,16,3725,3653,1861,1799,2139,3219,2584,3045,8041,7366,169,162,225,269,2256,2231,117,97,6,1,2017-12-30
171,17,1895,1848,1074,876,1025,1472,1348,1562,4039,3892,134,138,116,131,1426,1270,94,92,8,2,2017-12-30
