,NAMA_KEC,NAMA_KEL,PNS,DOSEN,GURU,GURU/DOSEN,TANI,POLRI,BURUH_HARIAN_LEPAS,BURUH_TANI_PERKEBUNAN,BURUH_NELAYAN_PERIKANAN,BURUH_PETERNAKAN,BURUH,PEDAGANG,PEDAGANG,PEDAGANG,TNI,MAHASISWA,NELAYAN,SWASTA,PELAJAR,BELUM KERJA,PENSIUN,ANGGOTA_DPR_RI,ANGGOTA_DPD,ANGGOTA_BPK,PRESIDEN,WAKIL_PRESIDEN,ANGGOTA_MAHKAMAH_KONSTITUSI,ANGGOTA_KABINET_KEMENTERIAN,DUTA_BESAR,GUBERNUR,WAKIL_GUBERNUR,BUPATI,WAKIL_BUPATI,WALIKOTA,WAKIL_WALIKOTA,ANGGOTA_DPRD_PROVINSI,ANGGOTA_DPRD_KABUPATEN_KOTA,PTN,IRT,WIRASWASTA,TUKANG_CUKUR,TUKANG_LISTRIK,TUKANG_BATU,TUKANG_KAYU,TUKANG_SOL_SEPATU,TUKANG_LAS_PANDAI_BESI,TUKANG_JAHIT,TUKANG_GIGI,TUKANG,LAIN2NYA,DOKTER,FAKIR
,,AIRLANGGA,735,96,272,368,3,37,8,0,0,0,8,4,22,26,72,1094,0,6727,4376,3788,309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3510,949,0,2,0,0,0,0,3,0,5,30,121,0
,,KERTAJAYA,632,93,227,320,1,19,20,1,0,0,21,14,59,73,55,1409,1,8699,5636,4930,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4425,1273,0,0,4,0,2,0,1,0,7,37,95,0
,,BARATAJAYA,386,65,130,195,4,21,11,1,0,0,12,13,56,69,23,874,0,5366,3497,2997,248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3110,779,0,2,1,0,0,0,1,0,4,15,107,0
,,PUCANG SEWU,273,62,87,149,0,6,13,0,0,0,13,19,69,88,27,787,0,4945,3147,2676,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2759,658,0,0,1,0,0,1,0,0,2,26,100,0
9,SUKOLILO,KEPUTIH,648,367,275,642,24,26,50,11,2,0,63,55,24,79,26,818,6,3367,3273,4107,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2653,1442,1,1,30,1,1,2,5,0,41,71,94,0
,,GEBANG PUTIH,138,26,46,72,13,4,15,5,1,0,21,15,15,30,6,368,1,1505,1471,1785,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1253,1055,0,0,7,1,0,1,1,0,10,46,44,0
,,KLAMPIS NGASEM,300,65,137,202,19,16,14,0,0,0,14,16,34,50,16,793,0,4704,3170,4586,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2939,1257,1,1,7,0,0,0,2,0,11,138,110,0
,,MENUR PUMPUNGAN,302,87,110,197,6,17,12,1,1,0,14,13,18,31,34,763,1,4764,3050,3736,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2972,1059,0,0,11,0,0,0,1,0,12,60,153,0
,,NGINDEN JANGKUNGAN,231,35,152,187,7,115,15,3,0,0,18,31,32,63,33,667,2,4315,2669,4166,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2529,1080,0,2,13,4,1,5,7,0,32,114,38,0
,,SEMOLOWARU,735,166,275,441,8,29,4,2,0,0,6,9,17,26,113,937,0,5085,3748,4455,296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2799,1430,0,0,1,0,0,0,0,0,1,85,154,0
,,MEDOKAN SEMAMPIR,396,71,198,269,19,29,11,2,0,0,13,14,21,35,112,870,1,5309,3480,4874,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3243,924,0,0,1,0,0,1,1,0,3,142,78,0
10,TAMBAK SARI,TAMBAKSARI,330,11,139,150,6,15,56,1,0,0,57,30,66,96,38,579,2,6180,2315,6650,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3980,711,0,2,5,4,1,2,11,0,25,59,30,0
,,PLOSO,520,43,281,324,14,34,101,2,0,1,104,75,102,177,73,1048,2,9777,4191,11084,296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6754,1868,0,5,30,4,6,6,16,0,67,147,63,0
,,GADING,301,15,216,231,24,21,70,3,0,0,73,37,80,117,66,1002,0,9004,4007,8703,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5788,1650,0,2,31,5,4,2,15,0,59,76,37,0
,,PACAR KEMBANG,990,70,342,412,27,37,44,7,0,0,51,44,102,146,100,1043,1,11130,4171,14351,315,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,3,7047,1915,1,4,16,2,0,6,4,0,33,69,89,0
,,RANGKAH,246,12,128,140,5,15,35,2,0,0,37,37,40,77,42,473,0,5269,1893,5995,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3574,835,0,0,8,1,2,3,4,1,19,46,26,0
,,PACAR KELING,644,35,178,213,12,37,37,0,0,0,37,34,42,76,50,664,0,7093,2655,7226,343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4342,904,0,1,7,2,0,4,5,0,19,38,43,0
,,KAPASMADYA BARU,314,19,208,227,34,34,88,2,0,0,90,26,101,127,74,975,0,10901,3901,14788,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,7826,2412,1,1,13,2,3,6,10,0,36,105,10,0
,,DUKUH SETRO,291,21,146,167,16,36,76,2,0,0,78,60,70,130,62,657,0,5875,2627,6825,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3922,1144,0,2,33,7,2,7,11,1,63,50,9,0
11,SIMOKERTO,SIMOKERTO,154,22,150,172,7,29,19,4,0,0,23,6,56,62,56,960,1,6470,3839,5478,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4958,1618,0,1,2,0,0,1,4,0,8,51,16,0
,,KAPASAN,91,7,66,73,2,11,8,0,0,0,8,3,44,47,17,661,0,4324,2642,4316,44,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3608,1455,0,0,2,1,0,1,1,0,5,20,14,0
,,SIDODADI,64,3,52,55,11,14,15,0,0,0,15,7,51,58,27,713,0,4635,2851,4949,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4004,1255,0,0,0,0,0,0,1,0,1,32,6,0
,,SIMOLAWANG,99,9,106,115,22,4,29,1,0,1,31,8,62,70,33,890,0,5302,3559,7059,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5328,1919,0,1,2,0,0,0,2,0,5,144,12,0
